SerialNo,ShippingCompanyName,Country,City,Phone,Website
1,Q Ship USA,USA,New York,+1 844-774-4787,qshipusa.com
2,NY International Shipping,USA,New York,+1 888-522-6094,nyshipping.com
3,Trans Global Logistics UK Limited,UK,Mildenhall,+44 1638515714,tglog.co.uk
4,Messiah Freight & Distributors Uk Ltd,UK,London,+44 2045414340,messiahfreight.co.uk
5,123 Air Sea Rail International Transport GmbH & Co. KG,Germany,Hamburg,+49 4037089188,german-shipping.com
6,Wah Kwong Shipping Agency Co Ltd,China,Hong Kong,+85 228635333,wahkwong.com.hk
7,"China Freight CO., LTD",China,Shenzhen,+86 75586514558,chinafreight.com
8,"Triman Shipping Ltd, China",China,Shenzhen,+86 75583262856,trimanshipping.com
9,Evergreen Shipping Agency (Europe) GMBH,Netherlands,Rotterdam,+31 10 231 1000,shipmentlink.com
10,Marlow Navigation Netherlands,Netherlands,Rhoon,+31 10 206 6333,marlow-navigation.com
11,ESL Shipping Ltd,Finland,Helsinki,+358 9 5211,eslshipping.com
12,Blue Water Shipping OY,Finland,Vantaa,+358 20 7218550,bws.net
13,Ventura Shipping UK Ltd,UK,London,+44 1753251603,ventura-shipping.com
14,Fortune Global Shipping & Logistics Limited,Nigeria,Lagos,+234 81 496 87490,fglobalshipping.com
15,Compass Maritime Shipping,Ireland,Dublin,+353 1 86 25432,compassmaritime.ie
16,Spratt Logistics,Ireland,Whitehall,+353 1 85 27100,sprattlogistics.com
17,Golden Cargo Services LLC.,United Arab Emirates ,Dubai,+971 4 334 1224,goldencargo.com
18,AlFares Cargo Service & Clearance,United Arab Emirates ,Dubai,+971 5 072 59940,alfarescargo.com
19,Supermaritime Nigeria Ltd,Nigeria,Lagos,+234 70 4810 8940,supermaritime.com
20,Emy Cargo & Shipping Nigerian Limited,Nigeria,Lagos,+234 8033528728,emycargo.com
21,Go Transport Canada,Canada,Montreal,+1 514 312 3884,gotransportcanada.com
22,Go World Cargo,Canada,British Columbia,+1 604 305 0337,goworldcargo.com
23,NYK Line,Japan,Tokyo,+813 3284 5151,nyk.com
24,"Nautica Shipping & Logistics Japan Co., Ltd",Japan,Tokyo,+815 0505 08490,nauticashipping.com
25,"TMS Ship Agencies, Inc.",Philipines,Manila,+63 2 852 65996,tmsshipagencies.com
26,Naess Shipping Philippines Inc.,Philipines,Manila,+63 2 852 11592,naess.com.ph
27,Trans-Tech Shipping and Logistics,South Africa,Randburg,+27 60 980 6040,transtechshipping.co.za
28,Mediterranean Shipping Co,South Africa,Cape Town,+27 21 405 2000,msc.com
29,Omni Logistics - Korea,South Korea,Seoul,+82 2 851 7610,omnilogistics.com
30,Willship International,Australia,Northgate,+61 73 26 73694,willship.com.au
31,Think Global Logistics,Australia,Sydney,+61 1800 845 845,tgl.co
32,Ship Global Australia,Australia,Melboourne,+61 3 7043 5534,shipglobal.au
33,ALS Global Shipping & Logistics Ltd,Ghana,Accra,+233 595 23 3021,alsshipping.com
34,Global Cargo and Commodities Ltd.,Ghana,Tema,+233 303 20 0740,globalcargogh.com
35,Aquantuo Ghana,Ghana,Accra,+233 59 692 2023,aquantuo.com
36,ShipToBox,USA,Dover,+1 212 564 1573,shiptobox.com
37,MAS Logistics (UK) Ltd.,UK,London,+44 208 571 7105,maslogistics.co.uk
38,Globalink Shipping Canada Inc,Canada,Montreal,+14 38 83 65802,globelinkshipping.ca
39,Kesland Freight International,Germany,Frankfurt,+49 176 70309245,keslandfreight.com
40,Forward2me Germany,Germany,Schwedt,+49 69 94323160,forward2me.com
41,Turkiship,Turkiye,Instanbul,+90 549 72 48973,turkiship.com
42,Palmali Shipping,Turkiye,Instanbul,+90 212 350 0900,palmali.com.tr
43,Cyprus Global Logistics,Cyprus,Limassol,+357 25 02 2100,cyprusgloballogistics.com
44,Amathus Aegeas Ltd,Cyprus,Limassol,+357 25 36 2145,amathusaegeas.com
45,Marlow Navigation Company Limited,Cyprus,Limassol,+357 25 88 2588,marlow-navigation.com
46,3 Seas Shipping,Cyprus,Limassol,+357 25 82 3593,3seas-shipping.com
47,LK Shipping UK LTD,UK,Sale,+447 92 60 30287,lkshipping.co.uk
48,Rocket Freight International LTD,New Zealand,Auckland ,+64 92 18 9409,rocketfreight.co.nz
49,Sneddens Airocean Services Ltd,New Zealand,Auckland ,+64 92 56 9598,sneddens.co.nz
50,SeaLink Logistics New Zealand,New Zealand,Auckland ,+64 93 00 5900,sealink.co.nz
51,Icelandair Cargo,Iceland,Reykjavik ,+354 505 0400,icelandaircargo.com
52,Cargo Express,Iceland,Reykjavik ,+354 527 0222,cargoexpress.is
53,Eimskip,Iceland,Reykjavik ,+354 525 7000,eimskip.com
54,KTG Shipping International (Lagos),Nigeria,Lagos,+234 705 886 2000,ktgshipping.com
55,Saima Nigeria Limited,Nigeria,Lagos,+234 810 028 5346,saimanigeria.com.ng
56,PF Xpress Logistics,Nigeria,Lagos,+234 704 221 4466,pfxlogistics.com
57,Cargonaija Benin,Nigeria,Lagos,+234 902 549 1626,cargonaija.com
58,National Shipping SA,Argentina,Buenos Aires,+54 11 5281 0600,nship.com.ar
59,Cosco Shipping Lines (Argentina) S.A.,Argentina,Buenos Aires,+54 11 4343 0607,lines.coscoshipping.com
60,"K International Transport Co., Inc",USA,New York,+1 212 267 6400,kinternational.com
